t rx ry x1 y1 x2 y2 x3 y3 x4 y4 err lam2 lmin lmax
17.40000 11.40000 6.00000 11.39097 6.01598 9.38732 6.02244 9.38732 4.02244 11.38732 4.02244 0.00525 4.00000 1.99354 2.82843
17.60000 11.60000 6.00000 11.59148 6.01509 9.58803 6.02118 9.58803 4.02118 11.58803 4.02118 0.00495 4.00000 1.99391 2.82843
17.80000 11.80000 6.00000 11.79196 6.01424 9.78871 6.02000 9.78871 4.02000 11.78871 4.02000 0.00467 4.00000 1.99425 2.82843
18.00000 12.00000 6.00000 11.99241 6.01344 9.98934 6.01887 9.98934 4.01887 11.98934 4.01887 0.00441 4.00000 1.99457 2.82843
18.20000 12.20000 6.00000 12.19283 6.01269 10.18994 6.01782 10.18994 4.01782 12.18994 4.01782 0.00416 4.00000 1.99488 2.82843
18.40000 12.40000 6.00000 12.39323 6.01198 10.39050 6.01682 10.39050 4.01682 12.39050 4.01682 0.00393 4.00000 1.99516 2.82843
18.60000 12.60000 6.00000 12.59361 6.01130 10.59103 6.01587 10.59103 4.01587 12.59103 4.01587 0.00371 4.00000 1.99543 2.82843
18.80000 12.80000 6.00000 12.79397 6.01067 10.79154 6.01498 10.79154 4.01498 12.79154 4.01498 0.00350 4.00000 1.99569 2.82843
19.00000 13.00000 6.00000 12.99431 6.01007 10.99201 6.01414 10.99201 4.01414 12.99201 4.01414 0.00331 4.00000 1.99593 2.82843
19.20000 13.20000 6.00000 13.19463 6.00951 11.19246 6.01335 11.19246 4.01335 13.19246 4.01335 0.00312 4.00000 1.99616 2.82843
19.40000 13.40000 6.00000 13.39493 6.00897 11.39288 6.01260 11.39288 4.01260 13.39288 4.01260 0.00294 4.00000 1.99637 2.82843
19.60000 13.60000 6.00000 13.59522 6.00847 11.59328 6.01189 11.59328 4.01189 13.59328 4.01189 0.00278 4.00000 1.99658 2.82843
19.80000 13.80000 6.00000 13.79548 6.00800 11.79366 6.01123 11.79366 4.01123 13.79366 4.01123 0.00262 4.00000 1.99677 2.82843
20.00000 14.00000 6.00000 13.99574 6.00755 11.99401 6.01060 11.99401 4.01060 13.99401 4.01060 0.00248 4.00000 1.99695 2.82843
20.20000 14.20000 6.00000 14.19598 6.00712 12.19435 6.01000 12.19435 4.01000 14.19435 4.01000 0.00234 4.00000 1.99712 2.82843
20.40000 14.40000 6.00000 14.39620 6.00672 12.39467 6.00944 12.39467 4.00944 14.39467 4.00944 0.00221 4.00000 1.99728 2.82843
20.60000 14.60000 6.00000 14.59641 6.00635 12.59497 6.00891 12.59497 4.00891 14.59497 4.00891 0.00208 4.00000 1.99744 2.82843
20.80000 14.80000 6.00000 14.79662 6.00599 12.79525 6.00841 12.79525 4.00841 14.79525 4.00841 0.00197 4.00000 1.99758 2.82843
21.00000 15.00000 6.00000 14.99681 6.00565 12.99551 6.00794 12.99551 4.00794 14.99551 4.00794 0.00186 4.00000 1.99772 2.82843
21.20000 15.20000 6.00000 15.19698 6.00534 13.19577 6.00749 13.19577 4.00749 15.19577 4.00749 0.00175 4.00000 1.99784 2.82843
21.40000 15.40000 6.00000 15.39715 6.00504 13.39600 6.00707 13.39600 4.00707 15.39600 4.00707 0.00165 4.00000 1.99796 2.82843
