x y U
3.0857 2.0571 14.0315
3.3429 2.0571 12.8338
3.6000 2.0571 11.7008
3.8571 2.0571 10.6228
4.1143 2.0571 9.5918
4.3714 2.0571 8.6071
4.6286 2.0571 7.6763
4.8857 2.0571 6.8093
5.1429 2.0571 6.0132
5.4000 2.0571 5.2909
5.6571 2.0571 4.6422
5.9143 2.0571 4.0656
6.1714 2.0571 3.5594
6.4286 2.0571 3.1220
6.6857 2.0571 2.7510
6.9429 2.0571 2.4461
7.2000 2.0571 2.2073
7.4571 2.0571 2.0347
7.7143 2.0571 1.9282
7.9714 2.0571 1.8878
8.2286 2.0571 1.9135
8.4857 2.0571 2.0053
8.7429 2.0571 2.1633
9.0000 2.0571 2.3873

0.0000 2.2857 33.4694
0.2571 2.2857 31.4453
0.5143 2.2857 29.4873
0.7714 2.2857 27.5955
1.0286 2.2857 25.7698
1.2857 2.2857 24.0102
1.5429 2.2857 22.3167
1.8000 2.2857 20.6911
2.0571 2.2857 19.1364
2.3143 2.2857 17.6556
2.5714 2.2857 16.2528
2.8286 2.2857 14.9333
3.0857 2.2857 13.7016
3.3429 2.2857 12.5563
3.6000 2.2857 11.4817
3.8571 2.2857 10.4457
4.1143 2.2857 9.4171
4.3714 2.2857 8.3939
4.6286 2.2857 7.4053
4.8857 2.2857 6.4845
5.1429 2.2857 5.6492
5.4000 2.2857 4.9019
5.6571 2.2857 4.2386
5.9143 2.2857 3.6539
6.1714 2.2857 3.1434
6.4286 2.2857 2.7041
6.6857 2.2857 2.3331
6.9429 2.2857 2.0282
7.2000 2.2857 1.7894
7.4571 2.2857 1.6167
7.7143 2.2857 1.5102
7.9714 2.2857 1.4698
8.2286 2.2857 1.4955
8.4857 2.2857 1.5873
8.7429 2.2857 1.7453
9.0000 2.2857 1.9694

0.0000 2.5143 33.1037
0.2571 2.5143 31.0796
0.5143 2.5143 29.1216
0.7714 2.5143 27.2298
1.0286 2.5143 25.4041
1.2857 2.5143 23.6445
1.5429 2.5143 21.9516
1.8000 2.5143 20.3291
2.0571 2.5143 18.7808
2.3143 2.5143 17.3129
2.5714 2.5143 15.9362
2.8286 2.5143 14.6684
3.0857 2.5143 13.5343
3.3429 2.5143 12.5544
3.6000 2.5143 11.7039
3.8571 2.5143 10.8560
4.1143 2.5143 9.8395
4.3714 2.5143 8.6415
4.6286 2.5143 7.4262
4.8857 2.5143 6.3319
5.1429 2.5143 5.3924
5.4000 2.5143 4.5896
5.6571 2.5143 3.8981
5.9143 2.5143 3.2993
6.1714 2.5143 2.7819
6.4286 2.5143 2.3392
6.6857 2.5143 1.9673
6.9429 2.5143 1.6624
7.2000 2.5143 1.4237
7.4571 2.5143 1.2510
7.7143 2.5143 1.1445
7.9714 2.5143 1.1041
8.2286 2.5143 1.1298
8.4857 2.5143 1.2216
8.7429 2.5143 1.3796
9.0000 2.5143 1.6037

0.0000 2.7429 32.7902
0.2571 2.7429 30.7661
0.5143 2.7429 28.8082
0.7714 2.7429 26.9163
1.0286 2.7429 25.0906
1.2857 2.7429 23.3310
1.5429 2.7429 21.6399
1.8000 2.7429 20.0217
2.0571 2.7429 18.4830
2.3143 2.7429 17.0366
2.5714 2.7429 15.7094
2.8286 2.7429 14.5600
3.0857 2.7429 13.7150
3.3429 2.7429 13.4194
3.6000 2.7429 13.9349
3.8571 2.7429 14.7191
4.1143 2.7429 13.8244
4.3714 2.7429 11.0641
4.6286 2.7429 8.4059
4.8857 2.7429 6.5635
5.1429 2.7429 5.3049
5.4000 2.7429 4.3714
5.6571 2.7429 3.6254
5.9143 2.7429 3.0031
6.1714 2.7429 2.4753
6.4286 2.7429 2.0278
6.6857 2.7429 1.6539
6.9429 2.7429 1.3490
7.2000 2.7429 1.1102
7.4571 2.7429 0.9376
7.7143 2.7429 0.8310
7.9714 2.7429 0.7906
8.2286 2.7429 0.8163
8.4857 2.7429 0.9082
8.7429 2.7429 1.0661
9.0000 2.7429 1.2902

0.0000 2.9714 32.5290
0.2571 2.9714 30.5049
0.5143 2.9714 28.5469
0.7714 2.9714 26.6551
1.0286 2.9714 24.8294
1.2857 2.9714 23.0701
1.5429 2.9714 21.3814
1.8000 2.9714 19.7690
2.0571 2.9714 18.2437
2.3143 2.9714 16.8309
2.5714 2.9714 15.5960
2.8286 2.9714 14.7318
3.0857 2.9714 14.9332
3.3429 2.9714 19.5087
3.6000 2.9714 40.0000
3.8571 2.9714 40.0000
4.1143 2.9714 40.0000
4.3714 2.9714 40.0000
4.6286 2.9714 15.7513
4.8857 2.9714 8.0193
5.1429 2.9714 5.5358
