t a1 a2 a3 a4 a5 a6 b1 b2 b3 b4 b5 b6 disa disb bnda bndb
2.30000 7.47966 7.12021 6.72536 6.62548 6.87476 7.17454 7.03923 7.01590 7.00699 6.98848 6.97956 6.96984 0.71160 0.05745 5.34521 0.64647
2.35000 7.46209 7.11844 6.73977 6.64250 6.87722 7.15998 7.03656 7.01524 7.00675 6.98936 6.98085 6.97124 0.68099 0.05405 5.27407 0.60924
2.40000 7.44529 7.11670 6.75351 6.65869 6.87956 7.14625 7.03411 7.01459 7.00649 6.99015 6.98205 6.97261 0.65195 0.05087 5.20389 0.57415
2.45000 7.42922 7.11498 6.76661 6.67409 6.88180 7.13330 7.03184 7.01394 7.00624 6.99087 6.98316 6.97394 0.62440 0.04789 5.13463 0.54108
2.50000 7.41385 7.11329 6.77910 6.68873 6.88394 7.12108 7.02975 7.01330 7.00598 6.99153 6.98420 6.97523 0.59827 0.04509 5.06630 0.50992
2.55000 7.39915 7.11162 6.79100 6.70266 6.88600 7.10957 7.02782 7.01268 7.00573 6.99213 6.98518 6.97647 0.57348 0.04246 4.99888 0.48055
2.60000 7.38509 7.10998 6.80234 6.71591 6.88797 7.09871 7.02602 7.01207 7.00547 6.99268 6.98609 6.97766 0.54997 0.03999 4.93235 0.45287
2.65000 7.37163 7.10837 6.81313 6.72852 6.88987 7.08848 7.02436 7.01148 7.00522 6.99319 6.98694 6.97881 0.52767 0.03766 4.86671 0.42679
2.70000 7.35875 7.10678 6.82341 6.74052 6.89170 7.07884 7.02282 7.01090 7.00498 6.99365 6.98773 6.97991 0.50653 0.03548 4.80194 0.40221
2.75000 7.34643 7.10523 6.83319 6.75193 6.89347 7.06976 7.02138 7.01035 7.00474 6.99408 6.98847 6.98097 0.48648 0.03342 4.73804 0.37905
2.80000 7.33462 7.10370 6.84249 6.76280 6.89518 7.06120 7.02005 7.00982 7.00451 6.99448 6.98917 6.98198 0.46747 0.03149 4.67499 0.35721
2.85000 7.32333 7.10220 6.85135 6.77315 6.89683 7.05315 7.01880 7.00931 7.00429 6.99484 6.98982 6.98294 0.44946 0.02967 4.61277 0.33664
2.90000 7.31250 7.10073 6.85977 6.78300 6.89844 7.04556 7.01764 7.00882 7.00407 6.99518 6.99043 6.98385 0.43238 0.02795 4.55138 0.31725
2.95000 7.30214 7.09928 6.86777 6.79238 6.90000 7.03843 7.01656 7.00835 7.00387 6.99549 6.99100 6.98473 0.41619 0.02634 4.49081 0.29898
3.00000 7.29221 7.09786 6.87538 6.80131 6.90152 7.03171 7.01555 7.00791 7.00367 6.99578 6.99154 6.98556 0.40084 0.02482 4.43105 0.28176
3.05000 7.28270 7.09647 6.88262 6.80981 6.90300 7.02540 7.01461 7.00748 7.00348 6.99605 6.99204 6.98635 0.38630 0.02338 4.37208 0.26553
3.10000 7.27358 7.09510 6.88949 6.81792 6.90444 7.01947 7.01372 7.00707 7.00329 6.99629 6.99251 6.98710 0.37252 0.02203 4.31390 0.25024
3.15000 7.26484 7.09376 6.89603 6.82563 6.90585 7.01389 7.01290 7.00669 7.00312 6.99653 6.99296 6.98781 0.35945 0.02076 4.25649 0.23583
3.20000 7.25647 7.09244 6.90223 6.83298 6.90723 7.00866 7.01212 7.00632 7.00295 6.99674 6.99337 6.98848 0.34707 0.01957 4.19984 0.22224
3.25000 7.24844 7.09114 6.90813 6.83999 6.90857 7.00374 7.01140 7.00597 7.00279 6.99694 6.99376 6.98912 0.33533 0.01844 4.14395 0.20944
3.30000 7.24073 7.08986 6.91372 6.84666 6.90989 6.99913 7.01072 7.00564 7.00264 6.99713 6.99413 6.98973 0.32420 0.01738 4.08880 0.19738
3.35000 7.23334 7.08861 6.91904 6.85302 6.91117 6.99481 7.01008 7.00533 7.00250 6.99731 6.99448 6.99031 0.31365 0.01637 4.03439 0.18601
3.40000 7.22626 7.08738 6.92408 6.85908 6.91243 6.99076 7.00949 7.00503 7.00236 6.99747 6.99480 6.99085 0.30365 0.01543 3.98070 0.17530
3.45000 7.21945 7.08617 6.92887 6.86486 6.91367 6.98697 7.00893 7.00475 7.00223 6.99762 6.99510 6.99136 0.29416 0.01454 3.92772 0.16520
3.50000 7.21292 7.08498 6.93342 6.87037 6.91488 6.98343 7.00840 7.00449 7.00211 6.99777 6.99539 6.99185 0.28516 0.01370 3.87545 0.15569
3.55000 7.20665 7.08381 6.93773 6.87562 6.91607 6.98012 7.00790 7.00423 7.00199 6.99790 6.99566 6.99231 0.27662 0.01291 3.82387 0.14672
3.60000 7.20063 7.08265 6.94182 6.88063 6.91724 6.97702 7.00744 7.00400 7.00188 6.99803 6.99591 6.99274 0.26851 0.01217 3.77299 0.13827
3.65000 7.19485 7.08152 6.94570 6.88541 6.91839 6.97413 7.00700 7.00377 7.00178 6.99814 6.99615 6.99315 0.26081 0.01147 3.72277 0.13031
3.70000 7.18930 7.08041 6.94937 6.88996 6.91952 6.97144 7.00659 7.00356 7.00168 6.99825 6.99638 6.99354 0.25350 0.01081 3.67323 0.12280
3.75000 7.18396 7.07931 6.95286 6.89431 6.92063 6.96894 7.00621 7.00335 7.00158 6.99836 6.99659 6.99391 0.24655 0.01019 3.62435 0.11573
3.80000 7.17883 7.07823 6.95617 6.89845 6.92172 6.96661 7.00585 7.00316 7.00150 6.99845 6.99678 6.99426 0.23995 0.00960 3.57611 0.10906
3.85000 7.17390 7.07716 6.95930 6.90241 6.92279 6.96445 7.00550 7.00298 7.00141 6.99855 6.99697 6.99458 0.23367 0.00905 3.52852 0.10278
3.90000 7.16915 7.07611 6.96227 6.90618 6.92385 6.96244 7.00518 7.00282 7.00133 6.99863 6.99715 6.99489 0.22769 0.00852 3.48156 0.09686
3.95000 7.16459 7.07508 6.96508 6.90978 6.92488 6.96058 7.00488 7.00265 7.00126 6.99871 6.99731 6.99518 0.22199 0.00803 3.43523 0.09128
4.00000 7.16020 7.07406 6.96774 6.91322 6.92591 6.95887 7.00460 7.00250 7.00118 6.99879 6.99747 6.99546 0.21657 0.00757 3.38952 0.08603
