t x y d
9.6500 5.9683 4.0029 0.5683
9.7000 5.9683 4.0028 0.5683
9.7500 5.9683 4.0027 0.5683
9.8000 5.9683 4.0026 0.5683
9.8500 5.9683 4.0025 0.5683
9.9000 5.9683 4.0024 0.5683
9.9500 5.9683 4.0023 0.5683
10.0000 5.9683 4.0022 0.5683
10.0500 5.9683 4.0021 0.5683
10.1000 5.9683 4.0021 0.5683
10.1500 5.9683 4.0020 0.5683
10.2000 5.9683 4.0019 0.5683
10.2500 5.9683 4.0019 0.5683
10.3000 5.9683 4.0018 0.5683
10.3500 5.9683 4.0017 0.5683
10.4000 5.9683 4.0017 0.5683
10.4500 5.9683 4.0016 0.5683
10.5000 5.9683 4.0016 0.5683
10.5500 5.9683 4.0015 0.5683
10.6000 5.9683 4.0014 0.5683
10.6500 5.9683 4.0014 0.5683
10.7000 5.9683 4.0013 0.5683
10.7500 5.9683 4.0013 0.5683
10.8000 5.9683 4.0013 0.5683
10.8500 5.9683 4.0012 0.5683
10.9000 5.9683 4.0012 0.5683
10.9500 5.9683 4.0011 0.5683
11.0000 5.9683 4.0011 0.5683
11.0500 5.9683 4.0010 0.5683
11.1000 5.9683 4.0010 0.5683
11.1500 5.9683 4.0010 0.5683
11.1800 5.9683 4.0010 0.5683
