t err lmin lmax dint lam2 viol active
10.50000 0.35616 1.81801 2.99797 0.99363 4.00000 0.00000 1.00000
10.60000 0.35067 1.76956 2.97384 1.03257 4.00000 0.00000 1.00000
10.70000 0.33294 1.73891 2.94860 1.07961 4.00000 0.00000 1.00000
10.80000 0.30500 1.72668 2.91854 1.13544 4.00000 0.00000 1.00000
10.90000 0.27060 1.73172 2.88586 1.20168 4.00000 0.00000 1.00000
11.00000 0.23453 1.75255 2.86017 1.27782 4.00000 0.00000 1.00000
11.10000 0.20027 1.78389 2.84481 1.36275 4.00000 0.00000 1.00000
11.20000 0.17004 1.81982 2.83902 1.45540 4.00000 0.00000 1.00000
11.30000 0.14490 1.85563 2.84030 1.55491 4.00000 0.00000 1.00000
11.40000 0.12508 1.88841 2.84587 1.66054 4.00000 0.00000 1.00000
11.50000 0.11021 1.91676 2.85349 1.77166 4.00000 0.00000 1.00000
11.60000 0.09951 1.94032 2.86158 1.88764 4.00000 0.00000 1.00000
11.70000 0.09204 1.95930 2.86919 2.00789 4.00000 0.00000 0.00000
11.80000 0.08699 1.97318 2.87473 2.13303 4.00000 0.00000 0.00000
11.90000 0.08337 1.97482 2.87771 2.26299 4.00000 0.00000 0.00000
12.00000 0.08047 1.97432 2.87906 2.39632 4.00000 0.00000 0.00000
12.10000 0.07793 1.97417 2.87938 2.53204 4.00000 0.00000 0.00000
12.20000 0.07560 1.97426 2.87905 2.66949 4.00000 0.00000 0.00000
12.30000 0.07339 1.97453 2.87832 2.80821 4.00000 0.00000 0.00000
12.40000 0.07127 1.97492 2.87736 2.94789 4.00000 0.00000 0.00000
12.50000 0.06923 1.97538 2.87625 3.08830 4.00000 0.00000 0.00000
12.60000 0.06726 1.97590 2.87506 3.22927 4.00000 0.00000 0.00000
12.70000 0.06534 1.97644 2.87383 3.37069 4.00000 0.00000 0.00000
12.80000 0.06348 1.97700 2.87260 3.51246 4.00000 0.00000 0.00000
12.90000 0.06167 1.97756 2.87137 3.65451 4.00000 0.00000 0.00000
13.00000 0.05992 1.97812 2.87016 3.79680 4.00000 0.00000 0.00000
13.10000 0.05821 1.97868 2.86897 3.93926 4.00000 0.00000 0.00000
13.20000 0.05656 1.97923 2.86781 4.08188 4.00000 0.00000 0.00000
13.30000 0.05495 1.97978 2.86668 4.22462 4.00000 0.00000 0.00000
13.40000 0.05338 1.98031 2.86557 4.36745 4.00000 0.00000 0.00000
13.50000 0.05186 1.98083 2.86450 4.51037 4.00000 0.00000 0.00000
13.60000 0.05039 1.98133 2.86346 4.65334 4.00000 0.00000 0.00000
13.70000 0.04896 1.98183 2.86244 4.79637 4.00000 0.00000 0.00000
13.80000 0.04756 1.98232 2.86146 4.93943 4.00000 0.00000 0.00000
13.90000 0.04621 1.98279 2.86051 5.08252 4.00000 0.00000 0.00000
14.00000 0.04489 1.98325 2.85958 5.22563 4.00000 0.00000 0.00000
14.10000 0.04362 1.98370 2.85868 5.36875 4.00000 0.00000 0.00000
14.20000 0.04238 1.98414 2.85780 5.51187 4.00000 0.00000 0.00000
14.30000 0.04117 1.98457 2.85695 5.65499 4.00000 0.00000 0.00000
14.40000 0.04000 1.98498 2.85613 5.79811 4.00000 0.00000 0.00000
14.50000 0.03886 1.98539 2.85533 5.94121 4.00000 0.00000 0.00000
14.60000 0.03776 1.98579 2.85455 6.08431 4.00000 0.00000 0.00000
14.70000 0.03668 1.98617 2.85380 6.22738 4.00000 0.00000 0.00000
14.80000 0.03564 1.98655 2.85307 6.37044 4.00000 0.00000 0.00000
14.90000 0.03462 1.98692 2.85236 6.51348 4.00000 0.00000 0.00000
15.00000 0.03364 1.98727 2.85167 6.65650 4.00000 0.00000 0.00000
15.10000 0.03268 1.98762 2.85100 6.79949 4.00000 0.00000 0.00000
15.20000 0.03175 1.98796 2.85035 6.94246 4.00000 0.00000 0.00000
15.30000 0.03085 1.98829 2.84972 7.08540 4.00000 0.00000 0.00000
15.40000 0.02997 1.98861 2.84910 7.22832 4.00000 0.00000 0.00000
15.50000 0.02912 1.98892 2.84851 7.37121 4.00000 0.00000 0.00000
15.60000 0.02829 1.98923 2.84793 7.51407 4.00000 0.00000 0.00000
15.70000 0.02749 1.98952 2.84737 7.65690 4.00000 0.00000 0.00000
15.80000 0.02670 1.98981 2.84683 7.79970 4.00000 0.00000 0.00000
15.90000 0.02594 1.99009 2.84630 7.94248 4.00000 0.00000 0.00000
16.00000 0.02521 1.99036 2.84578 8.08522 4.00000 0.00000 0.00000
16.10000 0.02449 1.99063 2.84529 8.22794 4.00000 0.00000 0.00000
16.20000 0.02379 1.99089 2.84480 8.37063 4.00000 0.00000 0.00000
16.30000 0.02312 1.99114 2.84433 8.51329 4.00000 0.00000 0.00000
16.40000 0.02246 1.99139 2.84388 8.65592 4.00000 0.00000 0.00000
16.50000 0.02182 1.99162 2.84343 8.79853 4.00000 0.00000 0.00000
16.60000 0.02120 1.99186 2.84300 8.94110 4.00000 0.00000 0.00000
16.70000 0.02060 1.99208 2.84258 9.08365 4.00000 0.00000 0.00000
16.80000 0.02001 1.99230 2.84218 9.22618 4.00000 0.00000 0.00000
16.90000 0.01944 1.99252 2.84178 9.36867 4.00000 0.00000 0.00000
17.00000 0.01889 1.99272 2.84140 9.51114 4.00000 0.00000 0.00000
17.10000 0.01835 1.99293 2.84103 9.65358 4.00000 0.00000 0.00000
17.20000 0.01783 1.99312 2.84067 9.79600 4.00000 0.00000 0.00000
17.30000 0.01732 1.99331 2.84032 9.93840 4.00000 0.00000 0.00000
17.40000 0.01683 1.99350 2.83998 10.08076 4.00000 0.00000 0.00000
17.50000 0.01635 1.99368 2.83965 10.22311 4.00000 0.00000 0.00000
17.60000 0.01588 1.99386 2.83933 10.36543 4.00000 0.00000 0.00000
17.70000 0.01543 1.99403 2.83901 10.50773 4.00000 0.00000 0.00000
17.80000 0.01499 1.99420 2.83871 10.65000 4.00000 0.00000 0.00000
17.90000 0.01457 1.99436 2.83842 10.79225 4.00000 0.00000 0.00000
18.00000 0.01415 1.99452 2.83813 10.93448 4.00000 0.00000 0.00000
18.10000 0.01375 1.99467 2.83785 11.07669 4.00000 0.00000 0.00000
18.20000 0.01336 1.99482 2.83758 11.21888 4.00000 0.00000 0.00000
18.30000 0.01298 1.99496 2.83732 11.36105 4.00000 0.00000 0.00000
18.40000 0.01261 1.99511 2.83707 11.50320 4.00000 0.00000 0.00000
18.50000 0.01225 1.99524 2.83682 11.64533 4.00000 0.00000 0.00000
18.60000 0.01190 1.99538 2.83658 11.78744 4.00000 0.00000 0.00000
18.70000 0.01156 1.99551 2.83635 11.92953 4.00000 0.00000 0.00000
18.80000 0.01123 1.99563 2.83612 12.07160 4.00000 0.00000 0.00000
18.90000 0.01091 1.99575 2.83590 12.21366 4.00000 0.00000 0.00000
19.00000 0.01060 1.99587 2.83569 12.35570 4.00000 0.00000 0.00000
19.10000 0.01030 1.99599 2.83548 12.49772 4.00000 0.00000 0.00000
19.20000 0.01001 1.99610 2.83528 12.63972 4.00000 0.00000 0.00000
19.30000 0.00972 1.99621 2.83508 12.78171 4.00000 0.00000 0.00000
19.40000 0.00945 1.99632 2.83489 12.92368 4.00000 0.00000 0.00000
19.50000 0.00918 1.99642 2.83471 13.06564 4.00000 0.00000 0.00000
19.60000 0.00892 1.99652 2.83453 13.20759 4.00000 0.00000 0.00000
19.70000 0.00866 1.99662 2.83435 13.34951 4.00000 0.00000 0.00000
19.80000 0.00842 1.99672 2.83419 13.49143 4.00000 0.00000 0.00000
19.90000 0.00818 1.99681 2.83402 13.63333 4.00000 0.00000 0.00000
20.00000 0.00795 1.99690 2.83386 13.77522 4.00000 0.00000 0.00000
