t tx ty tvx tvy zx zy ex ey evx evy fdvx fdvy sx sy errz errkf
4.8000 8.4101 9.2235 1.7482 2.7398 7.3471 9.1852 8.1400 9.1108 1.9631 2.7932 -1.8305 -2.4201 0.3936 0.2300 1.0637 0.2927
4.9000 8.5704 9.4961 1.6077 2.6810 9.3866 11.0088 8.4990 9.7328 2.0999 3.1997 20.3944 18.2355 0.3936 0.2300 1.7188 0.2472
5.0000 8.7336 9.7624 1.5932 2.5715 8.1557 9.9786 8.6233 10.0370 2.0278 3.1811 -12.3082 -10.3019 0.3936 0.2300 0.6170 0.2960
5.1000 8.8852 10.0059 1.5988 2.4224 10.2653 10.1529 9.0490 10.3123 2.2152 3.1303 21.0954 1.7427 0.3936 0.2300 1.3879 0.3475
5.2000 9.0337 10.2492 1.4013 2.5779 7.2910 9.9827 8.9639 10.4893 1.9575 2.9689 -29.7433 -1.7011 0.3936 0.2300 1.7630 0.2501
5.3000 9.1741 10.5018 1.3798 2.4918 8.7156 10.9778 9.0909 10.8268 1.8997 3.0170 14.2460 9.9509 0.3936 0.2300 0.6609 0.3354
5.4000 9.3097 10.7688 1.2838 2.7712 7.6516 11.5193 9.0285 11.2112 1.6877 3.1151 -10.6394 5.4143 0.3936 0.2300 1.8200 0.5242
5.5000 9.4345 11.0408 1.2507 2.6459 9.3923 11.5181 9.2275 11.5217 1.7131 3.1140 17.4065 -0.0115 0.3935 0.2300 0.4791 0.5235
5.6000 9.5654 11.3073 1.2629 2.6399 8.1828 11.2352 9.2105 11.7066 1.5549 2.9638 -12.0942 -2.8289 0.3935 0.2300 1.3845 0.5342
5.7000 9.6924 11.5875 1.2443 2.8956 8.8455 12.1410 9.2854 12.0322 1.4872 2.9985 6.6269 9.0580 0.3935 0.2300 1.0117 0.6028
5.8000 9.8112 11.8734 1.1670 2.8706 8.9062 11.9133 9.3523 12.2434 1.4185 2.8934 0.6066 -2.2767 0.3935 0.2300 0.9059 0.5894
