x1 y1 x2 y2 x3 y3
-1.14 35.05 -23.13 39.89 -19.51 72.96
-3.15 34.20 -33.08 48.22 -15.03 75.90
1.00 32.86 -10.05 67.06 -12.53 76.77
-0.71 34.75 -21.04 42.68 -19.51 72.96
0.66 33.20 -21.55 59.26 -22.63 76.78
-0.58 35.52 -26.99 53.92 -14.24 77.14
0.72 34.24 -25.79 35.12 -18.60 75.92
0.25 32.41 -30.81 38.93 -18.02 74.03
-0.35 32.53 -26.23 47.89 -18.02 74.03
1.94 33.29 -17.39 62.98 -18.60 75.92
-1.05 34.96 -16.18 60.02 -10.56 72.66
-2.14 34.84 -22.56 51.76 -22.28 70.53
0.75 34.46 -22.96 41.96 -17.24 74.42
-0.34 35.98 -27.12 41.49 -18.60 75.92
0.91 35.64 -22.49 27.90 -13.35 70.88
-1.76 33.25 -28.06 47.13 -18.02 74.03
-0.84 33.41 -30.09 30.14 -15.29 73.86
2.12 34.88 32.78 41.14 -9.86 76.16
1.05 37.26 27.70 66.92 -18.60 75.92
2.14 34.23 8.47 21.12 -12.53 76.77
0.57 33.70 -16.17 43.40 -9.96 76.21
0.20 34.73 26.58 56.67 -15.03 75.90
-0.23 35.25 22.55 28.29 -15.03 75.90
-0.80 32.75 23.44 44.92 -18.02 74.03
-1.14 35.05 -20.65 35.42 -19.51 72.96
0.70 31.41 -21.77 53.56 -18.02 74.03
0.23 34.81 -28.78 56.51 -13.58 78.71
-1.35 34.40 20.87 36.67 -15.29 73.86
-1.18 34.53 -23.62 55.93 -18.02 74.03
-0.91 34.26 -17.61 29.87 -18.02 74.03
-1.59 33.90 25.60 48.48 -15.29 73.86
1.92 31.72 -18.84 35.20 -9.96 76.21
-3.09 36.63 -17.41 59.94 -9.96 76.21
-1.37 32.66 -10.82 67.50 -12.53 76.77
-1.72 34.72 -27.45 42.56 -21.41 70.03
-1.80 32.65 -27.42 40.26 -20.11 72.07
-0.72 35.49 -22.59 22.19 -19.51 72.96
-1.83 35.62 -32.25 31.38 -20.11 72.07
-2.45 32.18 -11.72 67.01 -21.98 70.43
-0.15 35.48 -24.63 30.35 -13.35 70.88
1.70 33.26 22.59 48.92 -21.98 70.43
0.05 34.99 -19.64 37.85 -17.24 74.42
-0.05 34.55 -27.66 50.97 -19.13 71.04
-2.39 34.51 -30.77 40.63 -20.47 75.63
1.87 34.99 -20.95 61.67 -20.11 72.07
1.86 34.93 -26.60 38.59 -20.11 72.07
2.02 36.25 34.41 44.14 -18.60 75.92
-0.55 35.36 -12.86 65.73 -14.24 77.14
2.12 34.85 31.20 38.55 -9.86 76.16
-1.47 34.83 -22.85 40.08 -17.24 74.42
-3.81 34.16 -23.18 45.44 -19.51 72.96
0.22 34.95 -26.31 41.94 -13.58 78.71
-2.96 33.74 -29.00 39.89 -19.13 71.04
-2.37 34.44 -26.89 46.67 -20.47 75.63
-2.24 33.73 -16.77 55.99 -15.29 73.86
-0.83 33.31 -21.75 57.71 -15.29 73.86
0.56 33.77 28.38 30.70 -9.96 76.21
-0.82 33.29 -35.88 47.62 -15.29 73.86
-1.05 34.90 -17.94 34.77 -10.56 72.66
1.15 33.54 -25.15 29.98 -17.24 74.42
1.17 32.95 -23.84 45.43 -23.82 72.03
-0.71 33.66 -34.04 46.96 -15.29 73.86
0.84 32.76 -31.08 45.28 -20.11 72.07
2.20 34.63 -26.18 56.52 -21.24 68.69
-1.29 34.12 -19.67 49.00 -20.11 72.07
-0.59 36.06 20.95 37.20 -19.51 72.96
-0.00 35.91 -16.29 55.24 -22.28 70.53
1.05 37.26 28.11 52.74 -18.60 75.92
-0.83 34.67 23.03 53.40 -17.24 74.42
-1.14 35.05 -25.03 57.39 -19.51 72.96
-1.36 35.81 22.16 56.92 -20.47 75.63
-1.48 39.39 -26.90 51.41 -7.02 74.74
1.42 33.14 -19.51 55.73 -21.98 70.43
-1.33 36.64 -27.01 41.72 -19.51 72.96
-1.61 34.62 -18.81 30.01 -24.84 70.51
-1.65 32.63 -28.71 44.56 -20.11 72.07
2.25 36.65 12.20 57.87 -18.60 75.92
1.88 35.07 -25.89 39.16 -20.11 72.07
-1.38 33.07 -26.60 45.79 -23.82 72.03
1.42 33.20 -18.68 55.74 -21.98 70.43
-1.47 34.82 -22.28 49.26 -17.24 74.42
-1.75 33.63 -29.73 52.76 -24.05 71.76
0.32 33.38 -19.10 51.59 -15.29 73.86
-1.03 33.08 -26.19 44.08 -15.29 73.86
-0.98 35.13 -29.35 55.61 -15.03 75.90
-0.90 36.74 -25.04 49.88 -10.11 75.45
-2.85 34.37 -25.08 53.28 -15.03 75.90
0.70 33.62 -26.66 54.76 -15.29 73.86
-2.26 36.85 14.40 53.31 -15.29 73.86
2.04 36.30 35.19 46.54 -18.60 75.92
0.76 36.38 -11.76 61.07 -14.24 77.14
-1.85 33.62 -30.21 31.68 -18.02 74.03
-0.24 33.29 -23.12 67.68 -18.02 74.03
-1.65 32.62 -25.35 48.04 -20.11 72.07
0.51 33.69 -11.81 61.11 -20.68 69.83
0.55 34.99 -26.11 53.23 -19.13 71.04
0.75 34.45 -23.04 53.61 -17.24 74.42
