x y
2.8974 0.0646
2.9161 0.0528
2.9315 0.0431
2.9440 0.0353
2.9543 0.0288
2.9626 0.0235
2.9695 0.0192
2.9750 0.0157
2.9796 0.0128
2.9833 0.0105
2.9864 0.0086
2.9889 0.0070
2.9909 0.0057
2.9926 0.0047
2.9939 0.0038
2.9950 0.0031
2.9959 0.0026
2.9967 0.0021
2.9973 0.0017
2.9978 0.0014
2.9982 0.0011
2.9985 0.0009
2.9988 0.0008
2.9990 0.0006
2.9992 0.0005
2.9993 0.0004
2.9995 0.0003
2.9996 0.0003
2.9996 0.0002
2.9997 0.0002
2.9998 0.0002
2.9998 0.0001
2.9998 0.0001
2.9999 0.0001
2.9999 0.0001
2.9999 0.0001
2.9999 0.0000
2.9999 0.0000
