# raw rows of the Chapter 25 mini-study; generated by code/figures/gen_ch25_study.py from code/ch25_evaluation.py; cells (2,0) (2,1) (4,0) (4,1), seeds 0-19, strategies none/local/replan/hybrid, prediction=noisy; add the git commit of the code to this line when you publish a study
k m seed strategy family collision n_collisions near_miss dmin_dd dmin_di path_total path_ratio travel_mean makespan soc success replans avoid_steps comp_mean_ms comp_p99_ms comp_max_ms comp_total_s deadline_misses ef_mean ef_max comm_viol steps
2 0 13 local - 0 0 0 1.5052 nan 35.7908 0.9989 12.4000 13.0000 24.8000 1 0 0 0.0546 0.1014 0.1436 0.0153 0 0.0295 0.2458 0 140
2 0 13 replan - 0 0 0 1.5052 nan 35.7908 0.9989 12.4000 13.0000 24.8000 1 0 0 0.0570 0.1189 0.1371 0.0160 0 0.0295 0.2458 0 140
2 0 13 hybrid - 0 0 0 1.5052 nan 35.7908 0.9989 12.4000 13.0000 24.8000 1 0 0 0.0554 0.1065 0.1292 0.0155 0 0.0295 0.2458 0 140
2 0 14 none - 0 0 0 1.9803 nan 35.6695 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0548 0.1094 0.1384 0.0157 0 0.0293 0.2458 0 143
2 0 14 local - 0 0 0 1.9803 nan 35.6695 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0529 0.0947 0.1154 0.0151 0 0.0293 0.2458 0 143
2 0 14 replan - 0 0 0 1.9803 nan 35.6695 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0522 0.0978 0.1009 0.0149 0 0.0293 0.2458 0 143
2 0 14 hybrid - 0 0 0 1.9803 nan 35.6695 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0533 0.0937 0.1159 0.0153 0 0.0293 0.2458 0 143
2 0 15 none - 0 0 0 2.0992 nan 35.8901 0.9990 12.7000 13.5000 25.4000 1 0 0 0.0545 0.1016 0.1185 0.0158 0 0.0293 0.2458 0 145
2 0 15 local - 0 0 0 2.0992 nan 35.8901 0.9990 12.7000 13.5000 25.4000 1 0 0 0.0541 0.1112 0.1824 0.0157 0 0.0293 0.2458 0 145
2 0 15 replan - 0 0 0 2.0992 nan 35.8901 0.9990 12.7000 13.5000 25.4000 1 0 0 0.0541 0.1047 0.1637 0.0157 0 0.0293 0.2458 0 145
